 45 C-HiZ_z1_314           150.360040   1.937142  20.9456  22.4843  21.4028 -22.04   1.00237573064554e+10 0.000000 I  1 -80.557205  1.768777 0.530633 0.0 0.750936 42.37595 13.47519 0 0.834880   1.84724914906069e-16   9.27196429536717e+41 21.200686 142.7108 0 0 -50.000000  84.97886  139.96799  98.67036  161.88733   30.65059   64.05565 0 RT    340.75  143.85   201.35    0.00   83.017    7.517   77.270    6.996 O    0.37494    0.11248    1.10412    0.64491    0.51840
 46 C-HiZ_z1_317           150.362980   1.943823  20.4035  22.6950  21.2483 -22.77   1.96349755265671e+10 0.000000 I  1 -85.677299  3.951944 1.185583 0.0 0.406316 68.83972 18.76794 0 0.853780   1.38198091749556e-16   7.32991973331785e+41 16.760130 112.0757 0 0 -88.000000  70.29896   79.77099  73.93694   83.04104    5.88200   18.05726 0 RT    390.53  143.25   172.19    0.00  100.069   50.035   81.099   40.550 M    0.83182    0.24955    0.99230    0.68295    0.65177
 47 C-HiZ_z1_319           150.367260   2.056611  20.7207  22.3996  21.3767 -22.37   1.35840888806634e+10 0.000000 I  1 -55.117569  7.074520 2.122356 0.0 0.337817 73.86721 19.77344 0 0.840024   3.11932184755760e-17   1.58956010357672e+41  3.634588 155.8727 0 1 -56.000000 169.67184  180.80640 146.69431  154.82635   19.80772   33.07901 0 RT   1303.43  505.87   571.27    0.00 -999.000 -999.000 -999.000 -999.000 X -999.00000 -999.00000 -999.00000 -999.00000 -999.00000
 48 C-HiZ_z1_325           150.374740   1.919405  21.8418  22.7911  22.2193 -21.14   4.37552255944983e+09 0.000000 I  1 -45.675686  0.927528 0.278258 0.0 0.887425 28.06400 10.61280 0 0.837241   3.58258109492314e-17   1.81076705856619e+41  4.140385  62.8121 0 0  65.000000  19.12343   46.64396  20.23567   49.40318   12.37415   28.16910 0 RT     54.53   25.36    41.81    0.00   40.813   10.599   38.101    9.895 O    0.19644    0.10000    0.40457    0.30516    0.22401
 49 C-HiZ_z1_331           150.387540   2.056303  20.8623  22.0105  21.2283 -22.32   1.29726904862480e+10 0.000000 I  1  15.986908  2.057836 0.617351 0.0 0.808728 36.89223 12.37845 0 0.840369   1.33635749292925e-16   6.81676875564427e+41 15.586792  85.3837 0 0  31.000000  54.87308  100.45779  63.23371  115.13142   24.20087   51.51820 0 RT    281.94  122.90   180.75    0.00   31.442   14.478   29.978   13.804 O    0.44657    0.13397    0.40494    0.31069    0.26634
 50 C-HiZ_z1_334           150.390170   1.914446  21.8435  21.7536  21.5824 -21.34   5.26053886707597e+09 0.000000 I  1 -11.280173  1.412539 0.423762 0.0 0.781930 39.51056 12.90211 0 0.843359   3.41827925504427e-16   1.75898562350351e+42 40.219852  97.3362 0 0  17.000000  23.35802   41.29230  31.69194   55.92081   11.20318   23.79234 0 DN     94.00   40.35    58.23    0.00   80.556   14.958   78.405   14.559 O    0.29847    0.10000    0.22244    0.13925    0.11145
 51 C-HiZ_z1_340           150.401320   1.934495  20.8100  23.0204  21.6389 -22.62   1.71013547466145e+10 0.000000 I  1  50.981548  2.229260 0.668778 0.0 0.700398 46.75832 14.35166 0 0.835544   6.37050367058311e-17   3.20383268681941e+41  7.325681 139.7897 0 0  50.000000  93.61732  140.72087 127.64888  190.71962   33.64524   69.15857 0 RT+   505.94  209.54   283.35    0.00   44.812    4.232   40.557    3.830 O    0.47244    0.14173    1.61052    0.90650    0.74927
 52 C-HiZ_z1_346           150.409890   2.083741  21.1542  23.4370  22.1087 -22.32   1.29726904862480e+10 0.000000 I  3 -52.490768  3.766564 1.129969 0.0 0.308129 76.15865 20.23173 0 0.853802   1.99813570352557e-17   1.05986237570886e+41  2.423414 115.4972 0 0 -47.000000  91.66447   94.40583 102.20993  105.26667   97.67109  129.07950 2 DN  - 471.83    0.00     0.00    0.00 -999.000 -999.000 -999.000 -999.000 X -999.00000 -999.00000 -999.00000 -999.00000 -999.00000
 53 C-HiZ_z1_60            149.809010   2.026921  20.3872  21.9105  20.9196 -22.69   1.82402335311293e+10 0.000000 I  1   1.850769  2.351826 0.705548 0.0 0.959889 16.62834  8.32567 0 0.846738   1.24015110377523e-16   6.44479057339928e+41 14.736250 100.1384 1 0  85.000000  71.37772  268.98410  73.23904  273.73273   88.08645  268.73123 0 RT    766.09  401.08   935.84    0.00 -999.000 -999.000 -999.000 -999.000 X -999.00000 -999.00000 -999.00000 -999.00000 -999.00000
 54 C-HiZ_z1_67            149.822930   1.982284  22.3466  23.1969  22.5514 -20.62   2.71038199758004e+09 0.000000 I  1  38.859894  5.162378 1.548714 0.0 0.335287 74.05863 19.81173 0 0.839779   3.70477817703350e-17   1.88654446718299e+41  4.313653  84.4265 0 0  29.000000 105.28698  112.77280 122.67945  130.04398   13.23796   24.30604 1 RT    798.89  301.18   336.03    0.00   65.951   32.975   59.292   29.646 M    1.34266    0.40280    3.35876    2.28132    2.21973
 56 C-HiZ_z1_70            149.829750   1.994837  22.5009  23.1811  22.6550 -20.06   1.61819163347251e+09 0.000000 I  1 -77.230972  1.608325 0.482497 0.0 0.466699 64.50909 17.90182 0 0.847649   9.12030385250647e-17   4.75219330946908e+41 10.866064  52.4384 0 0  43.000000  84.18525  102.95428 103.12498  125.51484   13.88210   31.01512 0 RT    240.22   91.40   111.11    0.00   27.501    4.205   24.200    3.701 O    0.41707    0.12512    0.41491    0.21190    0.19104
 57 C-HiZ_z1_74            149.833920   2.047766  22.4500  24.3552  23.1463 -20.71   2.94462369651042e+09 0.000000 I  1  76.584137  2.855774 0.856732 0.0 0.551117 58.38993 16.67799 0 0.806378   2.51123597460660e-17   1.15718114732130e+41  2.645937  67.5155 0 0 -37.000000  10.22827   12.75724   8.24928   10.18694    2.33661    3.48292 1 DN     34.62   15.56    18.74    0.00   67.633   33.817   60.172   30.086 M    0.75270    0.22581    0.29373    0.21650    0.20329
 59 C-HiZ_z1_78            149.842240   2.267644  21.4043  23.1988  21.9032 -21.89   8.73031536103068e+09 0.000000 I  1  -9.163659  0.741002 0.222301 0.0 0.952961 18.01958  8.60392 0 0.850111   1.04941980073592e-16   5.50727576949512e+41 12.592587 112.3015 0 0 -49.000000  51.47072  190.31152  60.76497  224.79567   69.64753  200.39711 0 RT    198.22  101.73   221.87    0.00   49.851   24.402   40.176   19.666 O    0.21346    0.10000    0.79654    0.87645    0.56995
 60 C-HiZ_z1_83            149.854660   2.295503  21.7344  24.9989  22.7023 -21.76   7.74515773242142e+09 0.000000 I  4  80.529411  0.679554 0.203866 0.0 0.832775 34.40420 11.88084 0 0.779616   7.58497070885978e-18   3.21683111525445e+40  0.735540  37.6364 0 0   0.000000  29.87014   52.86493  33.30653   58.94674   57.94674   67.70556 2 X   -  47.67    0.00     0.00    0.00 -999.000 -999.000 -999.000 -999.000 X -999.00000 -999.00000 -999.00000 -999.00000 -999.00000
 61 C-HiZ_z1_85            149.869170   1.972209  22.5396  23.0668  22.5770 -20.41   2.23372706349963e+09 0.000000 I  1 -19.937120  0.928178 0.278453 0.0 0.762071 41.36432 13.27286 0 0.837832   1.09946550906939e-16   5.56676050295907e+41 12.728601  73.5463 0 0  88.000000  27.28034   46.92078  36.74706   63.18291   12.14830   25.56782 0 DN     69.79   29.59    41.83    0.00   77.467    6.655   74.039    6.361 O    0.24158    0.10000    0.45092    0.26583    0.21186
 63 C-HiZ_z1_90            149.883090   2.292490  22.3774  23.5060  22.7748 -20.95   3.67308074507809e+09 0.000000 I  1  52.954876  2.561166 0.768350 0.0 0.482268 63.39149 17.67830 0 0.854809   7.19996728027411e-17   3.83015624345805e+41  8.757792 106.7675 0 0  59.000000  53.62081   63.94424  52.29325   61.76571    6.19579   15.83244 0 RT    188.25   70.86    88.40    0.00   54.877    8.007   54.246    7.915 O    0.73652    0.22096    0.65173    0.33448    0.29706
