alpha,samples,strand,mode,eigenvalue,dominant_l,score_l0,score_l1,score_l2,length,potential_min,potential_max
0.1,128,1,11,111.4718521859937,2,2.5182260872080698e-08,0.08883047803619436,0.0957722308474976,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,12,111.52155651722262,2,2.20532326772739e-10,0.007203107658742808,0.1266363717967251,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,13,152.4492025179452,2,8.6325475954985e-10,0.009547240824200528,0.1446914355562799,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,14,152.46397001398174,2,6.797037225429897e-09,0.054698505022910404,0.07645528508666276,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,15,200.10195320595312,2,3.2280946902173085e-11,0.0016363728283311483,0.13090879213124507,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,16,200.14753588134562,2,2.2756658512327086e-09,0.032173703406715416,0.06478777423705734,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,17,254.6451373425424,2,6.086539841828539e-10,0.021935898271894978,0.04376347998910178,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,256,0,0,-0.2603761518661114,2,0.9990882076762966,0.8933567036868825,0.9998474290931474,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,1,4.8086602230120885,2,0.0008836133358974274,0.5506039832651839,0.9562682713521671,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,2,4.952167715644592,2,6.033079460125882e-07,0.840105479223458,0.9683794738722868,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,3,20.253461029913403,2,2.4903921793719228e-05,0.17385627162203032,0.3295230508282273,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,4,20.321270537094605,2,2.136394478310577e-08,0.09022832998136392,0.21711541643082147,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,5,45.96186244177834,2,2.201391519319845e-06,0.06507971389648283,0.12085789898713101,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,6,45.997416644813825,2,4.915818986074346e-11,0.028694181143509447,0.1376086563397099,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,7,81.96388614392262,2,3.4522021220353793e-07,0.061457366636207926,0.10596953638795835,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,8,81.99040043894118,2,2.280618276184404e-10,0.01626978436757172,0.07674736028784927,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,9,128.29717549069494,2,7.301720868379518e-08,0.048566485931855086,0.08203946680617093,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,10,128.31839006859605,2,3.3157842692847313e-10,0.009831183486282985,0.06462881275526032,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,11,184.99755725378662,2,1.5341718813690364e-08,0.03337055615236784,0.06917764765448055,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,12,185.01757191066844,2,4.671589056060414e-09,0.01417875150339765,0.059962829034130714,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,13,252.11865325442528,2,1.3029417515260628e-10,0.004697059753528446,0.05997533335128223,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,14,252.12240513007697,2,6.406443998066152e-09,0.031030419497477233,0.054571423208457794,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,15,329.69241123034107,2,1.966410832886967e-09,0.022145525688062308,0.04463434586928093,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,16,329.7051197552355,2,2.3581142536240507e-10,0.004048892767325748,0.05031674556072331,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,0,17,417.7910161063731,2,8.15179279427278e-10,0.0196363143929967,0.03699949348142104,2.7729637911425575,-1.0023886612317305,-0.12839809773484467
0.1,256,1,0,-0.22311689220963055,2,0.9985144324767471,0.4680064006812224,0.9997217927371547,3.5876224338115827,-0.7606963419635389,-0.11089141019371582
0.1,256,1,1,2.7905304623258074,2,0.0014323293295960724,0.6688211391682265,0.9055610440859226,3.5876224338115827,-0.7606963419635389,-0.11089141019371582
